"Állítás

EGYETÉRTEK
NEM ÉRTEK EGYET
NEM TUDOM / NEM ÉRDEKEL","Indoklás, pro és kontra","Közösségi közlekedésen alapuló város

VÁLASZ-INDOKLÁS",,"15 perces város

VÁLASZ-INDOKLÁS",,"Fenntartható város

VÁLASZ-INDOKLÁS",,"Technokrata város

VÁLASZ-INDOKLÁS",,"Autóközpontú

VÁLASZ-INDOKLÁS",,"Régiós gazdasági központ

VÁLASZ-INDOKLÁS",
"Az önkormányzatnak aktívan befolyásolnia kell, hogy az emberek milyen közlekedési módot választanak.","Van, aki szerint a klímaváltozás és az egészséges, biztonságos városi lét érdekében helyes, ha a városvezetés fenntarthatóbb irányba próbálja alakítani a lakói közlekedési szokásait, pl. szemléletformálással, a rendkívüli helyzetek felhasználásával a közlekedés átszervezésére. A járvány idején sok helyen történtek olyan időszakos közlekedési átalakítások (pl. busz- és kerékpársávok létesítése), amelyek a járvány után is megmaradtak. Mások szerint az önkormányzatnak ez nem feladata, szerintük az emberek preferenciáihoz kell hozzáigazítani a közlekedéspolitikát.",IGEN,"A város a közlekedésszervezés és a költségek megállapítása során arra törekszik, hogy a közösségi közlekedést a napi használatban vonzóbbá tegye elsősorban az egyéni autóhasználathoz képest.",IGEN,"A közterek átalakításával az önkormányzat az aktív közlekedési módokat (gyaloglás, kerékpár) hozza előnybe.",NEM,A kormányzat és az önkormányzat is szigorú környezetvédelmi szempontokat érvényesítve befolyásolja az egyéni döntéseket.,NEM,"A városvezetés nem avatkozik be az egyéni választásokba, a szolgáltatók és a közlekedési módok ""versenyeznek"" egymással.",NEM,"Ebben a jövőképben az egyéni gépjárműhasználat dominanciáját a város adottságként kezeli, ehhez igyekszik alkalmazkodni és a következményeit kezelni, nem pedig megváltoztatni.",NEM,"Ebben a jövőképben az egyéni gépjárműhasználat dominanciáját a város adottságként kezeli, a beruházások igényeihez igyekszik szabni a közlekedést, nem törekedve az egyének befolyásolására."
"Elsősorban az egyének felelőssége, hogy megoldják a közlekedésüket.","Van, aki szerint minden városlakónak anyagi lehetőségétől függetlenül lehetőséget kell teremteni, hogy eljusson munkába, intézhesse ügyeit, részt vegyen a város életében, mivel ez teszi élhetővé és versenyképesebbé a várost. Ehhez megfizethető közösségi közlekedés, gyalogosan és kerékpárral is jól közlekedhető közterek kellenek. Mások szerint a közösségi közlekedés biztosítása nem olyan kötelező feladata az önkormányzatnak, mint a közvilágításé vagy a köztisztaságé. Szerintük ezért elég egy hatékony, nem ráfizetéses, a fizetőképes kereslethez igazodó közösségi közlekedési rendszert kell fenntartani.",NEM,"A közösségi közlekedés központi szerepe közösségi felelősségvállalást is jelent. Az egyéneket ez védi a gyors változásoktól (pl. energiaárak emelkedése), az üzemeltetés kockázata is közösségi szinten jelenik meg.",IGEN,"Ebben a jövőképben a prioritás az élhető város, amelyben a közelben (ideális esetben sétatávra) vannak a szolgáltatások, a munkahely és minden ügyintézés könnyen elérhető. A közlekedés terheit ugyanakkor ez a város nem veszi le az egyének válláról, ezek az utazások nem kapnak kiemelt támogatást.",NEM,"Ebben a jövőképben kisebb-nagyobb közösségek sűrű szövetében az egyének egymást segítve, erőforrásaikat megosztva érvényesülnek, az önkormányzat pedig támogatja ezeket az önszerveződő, közösségi megoldásokat a közlekedésben és a feleslegesen megtett utak kiváltásában pl. helyben elérhető szolgáltatásokkal.",IGEN,"Ebben a jövőképben a közlekedés egy olyan szolgáltatás, amit egy erőteljesen versengő piacon az egyének saját igényeik szerint vásárolnak meg. Az önkormányzat csak nagyon korlátozott mértékben nyújt ezen felül szolgáltatást ott, ahol a piaci megoldások egyáltalán nem működnek.",IGEN,"A közlekedés ebben a jövőképben nagy mértékben az egyéni gépjármű-tulajdonon, és az ezért viselt egyéni felelősségen alapul.",NEM,"Ebben a jövőképben az egyének ugyan nagyobb mértékben felelősek a saját mobilitásukért, de az önkormányzat a versenyképesség növelése (pl. munkaerő biztosítása, anomáliák kezelése, új fejlesztési területek feltárása) érdekében igyekszik beavatkozni, költségeket átvállalni, ebbe a nagy foglalkoztatókat, beruházókat is bevonva."
"Az emberek akkor válnak tudatosabbá közlekedésük környezeti hatásait illetően, ha egyénileg kell megfizetniük annak költségeit.","A közúti közlekedésnek és szállításnak jelentős a szerepe a légszennyezésben, valamint egyéb környezeti és egészségügyi károkban. Az ezekhez kapcsolódó költségeket azonban korántsem fizetik meg a közlekedés használói. Vannak, akik a káros hatásokat és ezek mérséklésének költségeit jobban ráterhelnék a közlekedőkre, ezzel ösztönözve őket fenntarthatóbb magatartásra. Mások szerint az egyéni felelősség helyett közösségi szinten, társadalmi szempontokat mérlegelve kell megoldást találni a közlekedés fenntarthatóbbá tételére.",NEM,A közösségi közlekedésen alapuló városban (helyi szinten) közösségi felelősségvállalás és a költségek közösségi újraosztása történik.,IGEN,"Ebben a jövőképben a fenntarthatóbb aktív közlekedési eszközök élveznek elsőbbséget, más módokra jelentősebb költség hárul.",IGEN,"Ebben a jövőképben a fenntarthatóság befolyásolja az egyéni értékválasztásokat, de rendszerszinten is ellenösztönzik a nagyobb környezeti hatással járó szokásokat.",IGEN,"A technológiai megoldások és szolgáltatások piacán a környezeti hatások bizonyos mértékben ""beárazódnak"" az egyéni fogyasztói választásokba, miközben csekély a társadalmi szintű beavatkozás.",NEM,"Bár a közlekedés egyéni költségei magasak, a költségek egy részét (infrastruktúra fejlesztése, fenntartása) így is átvállalja a közösség, amely a káros hatásokért is kompenzációt nyújt egészségügyi, szociális szolgáltatások révén.",NEM,Ebben a jövőképben a csúcsra pörgő gazdasági tevékenység és a közlekedés tekintetében mérsékelten jönnek számításba a környezeti hatások.
"A saját tulajdonú gépjármű szabadságot, önállóságot és magasabb státuszt jelent.","Az állítással egyetértők szerint az autó státuszszimbólum, az önállóság garanciája, ezért ahhoz az emberek még a költségek emelkedése vagy más lehetőségek biztosítása esetén is ragaszkodnának. Azok viszont, akik kritikusak az autóhasználatra alapuló életmóddal és közlekedésszervezéssel, úgy látják, hogy ha a döntések és intézkedések nem ezt támogatnák és kényelmesebb lenne más eszközzel közlekedni, az emberek váltanának.",NEM,"Ebben a jövőképben a kiszámítható, biztonságos közösségi közlekedés szükségtelenné teszi a napi szintű személyautó-használatot, a többség hajlandó erről lemondani a közösségi megoldások előnyeiért.",NEM,"Ebben a jövőképben nő azoknak az aránya, akik saját gépjármű nélkül, döntően gyalog és kerékpárral közlekednek a mindennapokban, tekintettel ennek környezetre és saját egészségükre gyakorolt hatására.",NEM,Ebben a jövőképben a saját gépjármű fenntartásának magas költségei és a környezeti tudatosság miatt már nem alapvető életforma az autóhasználat.,NEM,"Ebben a jövőképben az emberek a jelenleginél sokkal nyitottabbá válnak a megosztott megoldásokra, sokan saját tulajdonú gépjármű helyett ilyen szolgáltatásokat vesznek igénybe.",IGEN,"Ebben a jövőképben az egyéni gépjárműhasználat domináns viselkedés és kulturális mód marad, amiről az egyének nem akarnak lemondani.",IGEN,"Ebben a jövőképben ugyan különböző városrészekben különböző életmódok mentén különböző közlekedési igények jelennek meg, és az önkormányzat nem mond le teljesen ezek befolyásolásáról, a domináns felfogás pedig továbbra is összeköti az egyéni gépjármű birtoklását a magasabb státusszal."
"Fel kell készülni arra, hogy 2040-re jóval nagyobbak lesznek a közlekedési rendszer működésének költségei.","Sokan azzal számolnak, hogy az energia árának emelkedése és a szigorodó klímavédelmi szabályok miatt jelentősen megemelkedik az az összeg, amennyibe a közlekedési rendszer fenntartása kerül. Mások szerint a zöld átállással nem kerül sor ilyen, a közlekedési szokásokat nagyban átalakító változásra. Miközben az energiaárak és üzemanyagárak változása külső tényező a város számára, az már az addig meghozott döntések függvénye, hogy az esetlegesen növekvő terheket mekkora mértékben viselik az egyének és milyen mértékben a közösség vagy az állam.",IGEN,"Az egyének minimális közlekedési költségekkel szembesülnek, a növekvő költségek össztársadalmi szinten jelentkeznek. Ennek a rendszernek a felkészítésére, alkalmazkodóképessé tételére fókuszál a város.",IGEN,"A költségek növekedésére helyben elérhető megoldásokkal és aktív közlekedéssel döntően az egyének maguk készülnek fel, illetve az áruszállítás tekintetében történik jelentős befektetés az átállásba.",IGEN,"Ezen az időtávon még mindig hatással van a városra az energiaárak növekedése, mivel ebben a jövőképben a zöld átállás még nem zajlott le teljesen. A költségek növekedésére a fogyasztás és a közlekedési igényeik visszafogásával reagálnak az emberek, miközben közösségi szinten jelentős erőforrásokat fordítanak a fenntarthatatlan, kockáztos külső források kiváltására.",NEM RELEVÁNS,"A közlekedési rendszer átalakítása igen költséges és bár a technológiai fejlődés gyors ütemű, nincs általános nyomás a versengő piaci technológiai megoldások által dominált rendszer felkészítésére. Így csak késve és közvetett módon (a szolgáltatások megtérülésén, a zöldülő fogyasztói igények miatt) történik meg az átállás.",NEM RELEVÁNS,"Az egyéni motorizált közlekedés klímaadaptációja igen költséges, méghozzá döntően az egyének számára. Ebben a jövőképben ez csak késve, minimális szabályozói nyomással, inkább a növekvő költségek hatására, mint előre felkészülve valósul meg. A közlekedési infrastruktúra bővítése mellett erre nem jutnak források, az egyéni költségek növekedését a város más közszolgáltatások fenntartásával igyekszik kiegyensúlyozni.",NEM,"A jövőkép egy mennyiségi növekedésen alapuló gazdaságpolitikára épít, ami nem számol azzal, hogy a kibocsátásnövekedés, a beruházások növekedése és a közlekedési rendszer kapacitása nem vagy csak irreálisan magas költségekkel lenne bővíthető."
"Helyes, ha az évtized végéig sor kerül a leginkább szennyező gépjárművek korlátozásására, kitiltására.","Más városok már létrehoztak alacsony károsanyag-kibocsátású zónákat, ahová a leginkább szennyező járművek nem hajthatnak be. A jogi lehetőségek függvényében egyesek szerint a városnak is törekednie kellene e járművek fokozatos kitiltására, vagy a CO2 kibocsátás alapján magasabb díjak fizetésére. Mások szerint nem szabad büntetni ezen járművek tulajdonosait, meg kell várni, hogy ezek maguktól eltűnjenek az utakról.",NEM RELEVÁNS,"Ebben a jövőképben a város nem tiltással és korlátozással, hanem puha ösztönzőkkel igyekszik elérni, hogy minél többen a közösségi közlekedést válasszák. A költségek növelése ugyanakkor felmerülhet.",NEM RELEVÁNS,"A gépjárműforgalom a központi részekből általánosan kiszorul, itt a gyalogosoké és a kerékpárosoké az elsőbbség. A hosszabb távú utak esetében a város nem korlátozza az ilyen gépjárművek használatát.",IGEN,"Ebben a jövőképben a környezeti szempontok érvényesítése elsődleges, ezek a járművek már nem közlekedhetnek a sűrűn lakott részeken, illetve fenntartásuk eleve költségesebb.",IGEN,"Ebben a jövőképben a közlekedés zöldítése a szolgáltatások közti verseny egyik tényezője. Mivel létezik nyomás az iparági szereplők részéről az elektromos átállásra, illetve az erősebb piaci szereplők ilyen módon is előnyhöz akarnak jutni, elképzelhető, hogy ilyen korlátozó intézkedések bevezetésre kerülnek.",NEM,"Ebben a jövőképben jelentős ellenállást váltana ki egy ilyen intézkedés, ezért ezek a járművek csak lassan tűnnek el az utakról.",IGEN,"Ebben a jövőképben nem elképzelhetetlen egy tervszerű, előre bejelentett, hosszabb távon érvényesített korlátozás, összekapcsolva a környezetbarátabb járművekhez nyújtott támogatással, hiszen ez előnyös a gazdasági szereplők számára is."
"Az önkormányzatnak a lehető legtágabb teret kell biztosítania az új, piaci technológiáknak a közlekedésben.","Sokan úgy látják, a járműmegosztás, pl. olyan üzleti modell szerint működő rendszerek, mint az UBER, az e-rollerek vagy egyes utazástervező alkalmazások átalakíthatják a közlekedést, igényre szabott digitális szolgáltatást, jobb kihasználtságot biztosítva, ezért ezeket a szolgáltatókat be kell csábítani a városba. Mások szerint ezek csak egy szűk réteg számára biztostanak megoldást, megjelenésük pedig súrlódásokat okoz, ezért nem támogatják, hogy aktívan ösztönözzék a jelenlétüket.",NEM,"Ebben a jövőképben a közösségi közlekedés fejesztése élvez elsőbbséget, a városi szabályozónak nem érdeke korlátlanul lehetőséget teremteni a számára konkurenciát teremtő új szolgáltatásoknak.",IGEN,"Miközben az aktív közlekedésre tervezett alközpontok fejlesztése a prioritás, ezek között, illetve ezekben (mikromobilitási eszközökkel) a város széles körben lehetőséget biztosít piaci technológiai újításoknak.",NEM RELEVÁNS,"Ebben a jövőképben a hatékonyabb, környezetkímélőbb piaci technológiák széles körben szabadon terjedhetnek, ugyanakkor bizonyos üzleti modellek, etikátlan üzleti gyakorlatok vagy környezetterhelő megoldások ellen jelentős lakossági tiltakozás alakulhat ki, így ezek tiltására, korlátozására kerülhet sor.",IGEN,"A technokrata jövőképben a piaci szolgáltatások szabad versenye és innovatív potenciálja révén kívánják elhárítani a közlekedési rendszer problémáit, így ezeket széles körben támogatatják.",NEM,"Az új technológiai megoldások az autós közlekedés alternatívájaként, gyakran annak infrastrukturális feltételeit használva jelennek meg (pl. parkolóhelyek helyén dokkolóállomások), ezért - bár bizonyos - az autós közlekedéssel súrlódás nélkül összehangolható - megoldások elterjednek, ""előnyben részesítésnek"" érzékelt bevezetésüket korlátozza a többség ellenállása.",IGEN,"Ebben a jövőképen az új piaci szolgáltatásoknak a városvezetés - a befektetők igényeivel is összhangban - teret biztosít. A széttagolt, sodródó városi közlekedési rendszerben ugyanakkor ezek nem képesek rendszerszintű hatást kiváltani."
"Nem elég a városlakókat közvetlenül érintő környezeti hatásokat csillapítani, ezen túl is áldozatokat kell vállalni a klímaváltozás megfékezésére.","Van, aki úgy látja, mindent el kell követni a globális felmelegedés mérsékléséért. Szerintük ez kell áthassa a település döntéseit, ezért nem szabad szennyező üzemeket engedélyezni, vagy új, nagy forgalmú utakat építeni, ellenben ahol lehet zöldíteni, erdősíteni kell akkor is, ha ez költséges. Mások szerint elegendő, ha az itt élő embereket érő környezeti károkat mérsékeljük, az egészségügyi hatásokat kompenzáljuk és a település élhetőségét tartjuk szem előtt.",NEM RELEVÁNS,"A közösségi közlekedés működtetésében, rendszerszinten érvényesülnek a környezetkímélő jó gyakorlatok, de ebben a jövőképben a fő cél a megfizethető közlekedés átfogó biztosítása, nincs ezen túlmutató törekvés globális környezeti célok teljesítésére.",NEM,"Ugyan ebben a jövőképben a város lakói környezettudatosak, tisztában vannak a közlekedésük környezeti hatásaival és ennek alapján választanak közlekedési módokat, ugyanakkor a magas jólétet és fogyasztási színvonalat biztosító életmód visszafogását, korlátozását csak kevesen támogatnák.",IGEN,"A többség érzékenysége és tudatossága miatt ebben a jövőképben hangsúlyos szerepet kap a klímaváltozás elleni küzdelem, ezért az önkormányzat és a helyi közösségek is folyamatosan dolgoznak ki megoldásokat a mindennapi élet káros környezeti hatásának csökkentésére (""zéró emisszió"").",NEM,"Miközben a vállalatok kínálta új technológiai megoldások egyike-másika tekintettel van a klímavédelem szempontjaira, a rendszer egésze a fogyasztás és a szolgáltatási igény maximalizálására törekszik.",NEM,"A város lakóiban alacsony a tudatosság az életmód és a közlekedés (globális) összefüggései iránt, jellemzően a közvetlen hatások csillapítása (pl. zajvédelem) vagy kompenzációja (pl. nyílászárók cseréje lakóépületekben) merül fel igényként.",NEM,"A város lakóiban alacsony a tudatosság az életmód és a közlekedés (globális) összefüggései iránt. A városnak van zöld stratégiája és indít különböző pl. fásítási, energiahatékonysági programokat, de összességében a város ökológiai lábnyomát ezek nem csökkentik."
"2040-ben az emberek rugalmasabb munkaórákban vagy otthonról dolgoznak majd, és leggyakrabban digitálisan fognak érintkezni egymással.","Amennyiben ez az állítás igaz, az hatással lehet arra, hogyan és mennyit közlekedünk 2040-ben a városban. A távmunka csökkenti a napi ingázást a munkahelyre, de a rugalmasabb munkaórák kiszámíthatatlanabbá is teszik a forgalmat. Ez a hatás iparáganként is változó: a szolgáltatóiparban nagyobb, az iparban, turizmusban kisebb lesz a jelentősége.",NEM,Ebben a jövőképben a digitalizáció nincs érdemi hatással a közlekedési szokásainkra: a munkavégzés továbbra is döntően személyesen zajlik és a szabadidős tevékenységeinket is a maihoz hasonló formában végezzük.,IGEN,"Ez a jövőkép feltételezi a közlekedési igények csökkenését nemcsak amiatt, mert sok minden helyben elérhetővé válik, de azért is, mert az életmód és az igénybe vett szolgáltatások átalakulásával kevesebb szükség van ingázásra, nagyobb távolságok megtételére. Ennek egy része a digitalizáció és a távmunka is.",NEM RELEVÁNS,"Ebben a jövőképben a digitális jelenlét önkéntes csökkentése, a személyközi viszonyok (közösségi együttlét) felértékelődése valósul meg. Ugyanakkor a munka világa rugalmasabbá válik, ami némileg csökkentheti a megtett utak mennyiségét, ez azonban kevésbé jelentős a minőségi átalakuláshoz képest.",IGEN,"A jövőkép központi eleme a - kifejezetten ösztönzött - digitalizáció, ami számos, ma még fizikai megoldást és utazást igénylő feladatot, ügyintézést kivált az oktatástól a hivatali ügyekig. Bizonyos ágazatokban terjed a távmunka is, és a mainál is több szabadidős, érintkezési forma kerül át az online térbe.",NEM RELEVÁNS,"Ebben a jövőképben nem kerül sor a távmunka, távoktatás tömeges bevezetésére vagy kifejezett ösztönzésére, ez csak bizonyos szektorokban, organikusan valósul meg. A hétköznapi életben még több kütyüvel találkozunk, mint ma, de a szabadidős programokhoz nagy valószínűséggel autóba kell ülni és a város egy másik pontjára utazni.",NEM,"Ebben a jövőképben a digitalizáció nincs érdemi hatással a közlekedési szokásainkra: a városban olyan szektorok dominánsak, ahol a munkavégzés továbbra is döntően személyesen zajlik és a szabadidős tevékenységeinket is a maihoz hasonló formában végezzük."
A város versenyképessége érdekében a munkahelyteremtő vállalatok és az ingatlanbefektetők igényeit kell előtérbe helyeznie a közlekedési fejlesztéseknél.,"Sokan a város fellendülésének garanciáját látják a tőkeerős gazdasági szereplők bevonzásában, ami munkahelyeket, adóbevételt generál és a városkép megújításához is hozzájárul. Szerintük helyes, ha a város aktívan kiszolgálja a tőkeerős szereplők igényeit a közlekedési és infrastruktúra-fejlesztésekkel, ezzel például alacsonyabb lakásárakat teremtve. Mások szerint nem szabad a gazdasági érdekeket előtérbe helyezni, helyette a városlakók jólétére épülő koncepcióhoz és az azt szolgáló közlekedési rendszerhez kell megtalálni a gazdasági alapot, és bevonni az infrastruktúra (pl. utak, óvodák) kialakításának terheibe a beruházókat is.",NEM RELEVÁNS,"Ebben a jövőképben nincs egyértelmű elsőbbsége a gazdasági érdekeknek: a város tudatosan, stratégikus módon fejleszti saját közlekedési rendszerét, szolgáltatása színvonalát. Ugyanakkor nincs erős városfejlesztési víziója, így a beruházások gerjesztette folyamatok befolyásolhatják, eltéríthetik, kihívások elé állíthatják a várost céljai elérésében. A befektetők ugyanakkor fő finanszírozói a fejlett közlekedési rendszernek.",NEM,"Ebben a jövőképben egy módszeresen végigvitt városfejlesztési koncepcióhoz igazodnak gazdasági szereplők, ennek keretei között fogadják a befektetéseket.",NEM,"Ebben a jövőképben a fejlődés fenntartható, minőségi indikátorai kerülnek előtérbe, gazdasági érdekek csak ezzel összefüggésben jöhetnek szóba.",IGEN,"A város egy innovatív, a piaci szereplők számára vonzó kreatív központ szerepére tör, amely kifejezetten törekszik tudásipari, szolgáltatóipari beruházások bevonzására látványos, a befektetők számára a várost pozícionáló beruházásokkal.",NEM RELEVÁNS,"Ebben a jövőképben nincs egyértelmű eltolódás a lakossági közlekedési igények felől a befektetői vagy gazdasági igények felé: a város a meglévő közlekedési rendszer működőképességét igyekszik fenntartani, kiszolgálva a rögzült lakossági igényeket.",IGEN,"Ebben a jövőképben elsődleges, hogy folyamatosan létrejöjjenek új lehetőségek az ipar és az ingatlanfejlesztők számára. Ez indokolja az ipari parkok és barnamezős területek infrastrukturájának lakosság által használt közlekedési infrastruktúrát meghaladó ütemű fejlesztését. Bár mindez partnerségben történik a befektetőkkel, a város befektetésként tekint a számukra biztosított fejlesztésekre."
